41,19,23,55,14,SEDANG
46,21,28,111,24,TIDAK SEHAT
59,25,31,95,26,SEDANG
52,17,28,56,19,SEDANG
51,21,32,60,24,SEDANG
49,15,46,43,23,BAIK
48,18,31,40,17,BAIK
48,17,25,46,15,BAIK
54,16,38,64,18,SEDANG
47,17,31,69,22,SEDANG
47,15,35,70,20,SEDANG
41,17,33,90,21,SEDANG
48,17,31,75,23,SEDANG
56,15,59,66,23,SEDANG
52,15,35,37,17,SEDANG
43,18,38,58,23,SEDANG
37,15,48,32,18,BAIK
43,17,34,70,21,SEDANG
40,16,32,69,22,SEDANG
49,18,32,57,21,SEDANG
57,19,37,55,19,SEDANG
39,12,30,36,14,BAIK
33,14,18,25,8,BAIK
56,18,32,48,18,SEDANG
54,17,47,33,12,SEDANG
27,8,22,45,10,BAIK
27,8,22,45,10,BAIK
13,1,22,54,11,SEDANG
13,1,22,54,11,SEDANG
31,13,27,26,9,BAIK
49,14,30,26,12,BAIK
27,6,25,36,16,BAIK
27,6,25,36,16,BAIK
69,0,19,80,6,SEDANG
24,2,23,36,14,BAIK
24,2,23,36,14,BAIK
36,13,21,25,11,BAIK
32,0,8,56,3,SEDANG
22,13,19,23,8,BAIK
18,1,13,22,8,BAIK
18,1,13,22,8,BAIK
14,1,17,78,11,SEDANG
50,0,12,76,3,SEDANG
14,1,17,75,10,SEDANG
32,15,28,43,14,BAIK
55,0,15,215,10,SANGAT TIDAK SEHAT
27,5,26,71,18,SEDANG
28,5,26,71,15,SEDANG
56,20,39,54,26,SEDANG
56,0,16,126,10,TIDAK SEHAT
17,2,10,55,8,SEDANG
17,2,10,55,8,SEDANG
53,20,30,50,20,SEDANG
44,0,22,81,8,SEDANG
40,18,23,31,9,BAIK
18,3,19,25,9,BAIK
18,3,19,25,9,BAIK
16,3,15,123,14,TIDAK SEHAT
16,3,15,123,14,TIDAK SEHAT
43,0,26,107,9,TIDAK SEHAT
37,16,28,74,18,SEDANG
52,0,31,67,11,SEDANG
30,6,36,57,21,SEDANG
54,15,40,54,23,SEDANG
30,6,36,53,21,SEDANG
51,0,16,130,7,TIDAK SEHAT
51,19,27,36,16,SEDANG
24,7,30,43,17,BAIK
24,7,17,43,17,BAIK
64,0,32,137,11,TIDAK SEHAT
58,19,34,67,24,SEDANG
26,5,21,45,20,BAIK
61,0,33,136,12,TIDAK SEHAT
58,17,55,54,17,SEDANG
57,0,20,206,6,SANGAT TIDAK SEHAT
61,16,32,65,38,SEDANG
68,0,21,136,9,TIDAK SEHAT
68,20,49,74,21,SEDANG
67,0,19,195,9,TIDAK SEHAT
64,19,35,70,24,SEDANG
68,0,27,154,9,TIDAK SEHAT
67,18,34,110,19,TIDAK SEHAT
55,0,15,238,13,SANGAT TIDAK SEHAT
57,19,38,90,30,SEDANG
69,0,18,112,13,TIDAK SEHAT
63,18,39,53,24,SEDANG
52,2,12,146,8,TIDAK SEHAT
72,1,25,88,16,SEDANG
66,26,39,51,23,SEDANG
52,2,12,190,9,TIDAK SEHAT
52,1,13,80,12,SEDANG
52,17,28,77,16,SEDANG
27,2,17,76,19,SEDANG
61,2,19,172,8,TIDAK SEHAT
24,5,23,137,17,TIDAK SEHAT
59,21,35,84,26,SEDANG
70,2,16,64,21,SEDANG
53,2,15,189,6,TIDAK SEHAT
59,17,49,120,21,TIDAK SEHAT
22,3,32,116,23,TIDAK SEHAT
62,1,30,100,16,SEDANG
49,17,30,89,20,SEDANG
60,1,32,53,15,SEDANG
56,19,37,93,26,SEDANG
67,1,21,81,15,SEDANG
66,0,18,74,8,SEDANG
43,16,32,49,14,BAIK
31,2,16,36,19,BAIK
58,3,12,80,3,SEDANG
54,1,11,47,8,SEDANG
28,17,26,29,12,BAIK
53,3,12,80,4,SEDANG
63,2,17,59,9,SEDANG
41,21,30,30,14,BAIK
59,5,16,82,9,SEDANG
68,8,27,45,12,SEDANG
18,9,20,57,12,SEDANG
45,31,34,38,14,BAIK
74,5,28,46,5,SEDANG
50,5,17,42,3,BAIK
49,24,32,29,13,BAIK
16,8,17,25,18,BAIK
60,2,38,18,6,SEDANG
41,3,22,23,3,BAIK
31,15,34,25,6,BAIK
14,4,24,30,8,BAIK
55,1,15,23,13,SEDANG
31,3,11,34,5,BAIK
13,3,16,31,9,BAIK
25,14,24,24,9,BAIK
54,1,13,19,5,SEDANG
29,3,8,30,3,BAIK
25,14,23,22,6,BAIK
12,3,22,22,7,BAIK
61,0,12,21,7,SEDANG
42,3,13,32,4,BAIK
25,14,19,20,8,BAIK
12,2,14,20,9,BAIK
35,4,10,58,4,SEDANG
56,1,17,37,11,SEDANG
28,14,23,19,11,BAIK
15,3,18,21,14,BAIK
63,1,12,29,8,SEDANG
43,3,9,50,3,BAIK
30,16,23,20,8,BAIK
14,3,16,23,9,BAIK
54,0,9,19,6,SEDANG
31,3,6,38,3,BAIK
25,13,20,21,8,BAIK
10,2,18,18,12,BAIK
56,1,17,24,6,SEDANG
12,4,21,43,15,BAIK
33,4,10,37,4,BAIK
27,13,19,30,10,BAIK
39,4,7,83,3,SEDANG
67,2,18,43,7,SEDANG
34,16,22,30,10,BAIK
14,6,14,24,15,BAIK
82,3,27,33,11,SEDANG
61,5,17,56,4,SEDANG
51,20,32,31,17,SEDANG
17,9,18,21,15,BAIK
58,5,17,119,9,TIDAK SEHAT
50,19,34,30,14,BAIK
20,10,24,21,19,BAIK
41,5,8,44,2,BAIK
36,19,27,22,14,BAIK
17,7,16,22,15,BAIK
38,20,20,23,7,BAIK
36,4,5,36,2,BAIK
13,7,14,21,9,BAIK
34,3,6,28,2,BAIK
14,3,27,33,11,BAIK
33,15,27,20,9,BAIK
49,4,15,32,3,BAIK
34,13,19,22,10,BAIK
15,3,17,27,9,BAIK
51,4,13,31,4,SEDANG
33,17,26,20,11,BAIK
17,5,17,33,9,BAIK
40,4,7,32,3,BAIK
37,16,27,22,12,BAIK
15,5,14,31,11,BAIK
55,1,9,29,7,SEDANG
45,4,6,32,3,BAIK
29,14,34,17,13,BAIK
12,3,15,33,8,BAIK
59,2,18,27,6,SEDANG
51,4,14,38,3,SEDANG
40,20,41,24,13,BAIK
18,8,20,30,13,BAIK
62,5,16,241,9,SANGAT TIDAK SEHAT
54,3,20,122,13,TIDAK SEHAT
20,6,24,104,15,TIDAK SEHAT
51,19,32,97,23,SEDANG
65,6,16,80,7,SEDANG
59,28,27,28,14,SEDANG
26,15,16,33,15,BAIK
65,5,20,52,4,SEDANG
39,18,23,48,12,BAIK
17,5,15,24,12,BAIK
38,6,4,54,2,SEDANG
27,19,22,27,10,BAIK
12,5,12,26,14,BAIK
45,6,6,53,2,SEDANG
15,9,13,43,17,BAIK
38,15,23,35,12,BAIK
42,5,9,40,4,BAIK
20,5,25,35,14,BAIK
34,16,25,26,11,BAIK
38,7,4,40,1,BAIK
36,18,24,22,8,BAIK
17,7,16,29,15,BAIK
17,6,13,34,15,BAIK
33,19,21,29,9,BAIK
52,17,51,46,7,SEDANG
19,6,19,41,7,BAIK
35,15,15,47,10,BAIK
17,4,12,41,11,BAIK
41,16,28,21,14,BAIK
21,5,25,22,15,BAIK
17,8,16,44,9,BAIK
34,17,19,26,11,BAIK
34,12,21,35,10,BAIK
15,4,18,27,12,BAIK
28,11,30,42,16,BAIK
16,5,17,29,19,BAIK
57,4,12,44,17,SEDANG
18,6,19,46,19,BAIK
37,17,28,30,13,BAIK
70,6,37,28,14,SEDANG
70,4,25,69,7,SEDANG
57,22,37,23,14,SEDANG
22,9,17,43,16,BAIK
74,5,34,78,11,SEDANG
70,3,31,37,18,SEDANG
31,5,35,28,14,BAIK
54,3,8,41,7,SEDANG
16,9,16,29,13,BAIK
52,4,14,41,12,SEDANG
46,18,24,31,11,BAIK
19,5,14,35,9,BAIK
60,4,14,31,15,SEDANG
43,20,28,27,10,BAIK
21,4,19,33,8,BAIK
67,3,14,73,9,SEDANG
71,5,24,51,18,SEDANG
49,16,28,34,14,BAIK
22,4,20,44,14,BAIK
70,2,9,55,3,SEDANG
61,3,11,50,10,SEDANG
44,15,24,37,13,BAIK
21,6,18,39,17,BAIK
90,2,8,58,3,SEDANG
39,15,26,32,15,BAIK
22,6,18,31,17,BAIK
66,2,11,16,8,SEDANG
55,2,8,22,2,SEDANG
32,13,16,22,8,BAIK
16,4,14,22,8,BAIK
67,3,18,39,7,SEDANG
55,2,12,46,5,SEDANG
32,14,20,36,10,BAIK
16,6,18,35,13,BAIK
80,2,29,48,6,SEDANG
33,12,31,38,17,BAIK
17,7,19,38,14,BAIK
42,13,31,33,14,BAIK
26,7,26,40,16,BAIK
49,16,25,31,14,BAIK
23,5,18,36,16,BAIK
50,13,39,42,21,BAIK
26,5,28,34,21,BAIK
65,4,39,50,23,SEDANG
58,16,44,36,16,SEDANG
37,7,38,31,17,BAIK
67,3,59,48,12,SEDANG
50,14,40,39,12,BAIK
35,7,47,38,14,BAIK
63,4,32,36,17,SEDANG
57,20,31,36,10,SEDANG
35,7,33,32,15,BAIK
60,7,25,59,19,SEDANG
44,23,27,37,13,BAIK
20,10,15,30,14,BAIK
58,8,20,70,17,SEDANG
46,24,26,37,10,BAIK
25,16,14,22,14,BAIK
94,3,21,40,5,SEDANG
71,4,26,33,19,SEDANG
42,20,24,37,11,BAIK
20,10,16,29,13,BAIK
68,3,38,34,16,SEDANG
43,14,31,37,11,BAIK
48,2,12,40,12,BAIK
24,14,23,33,10,BAIK
56,3,15,40,11,SEDANG
37,16,25,31,13,BAIK
47,2,10,21,8,BAIK
30,14,22,19,8,BAIK
56,3,18,29,8,SEDANG
37,20,22,26,11,BAIK
60,4,23,40,16,SEDANG
49,18,29,32,11,BAIK
29,6,24,28,13,BAIK
50,4,20,48,8,BAIK
39,16,24,40,10,BAIK
20,6,18,35,12,BAIK
49,4,15,34,16,BAIK
41,16,27,33,12,BAIK
22,5,13,31,13,BAIK
56,3,44,28,19,SEDANG
35,7,44,51,15,SEDANG
44,14,39,29,14,BAIK
38,2,13,38,9,BAIK
20,5,15,37,9,BAIK
29,15,21,30,16,BAIK
51,3,20,32,16,SEDANG
41,16,24,29,12,BAIK
24,7,19,34,13,BAIK
57,3,38,53,18,SEDANG
39,17,28,44,11,BAIK
20,7,16,34,17,BAIK
55,3,14,70,14,SEDANG
24,11,21,54,22,SEDANG
41,19,30,50,12,BAIK
73,4,38,64,21,SEDANG
34,11,21,64,20,SEDANG
54,18,30,48,15,SEDANG
78,21,49,96,24,SEDANG
69,14,42,76,23,SEDANG
81,3,34,82,18,SEDANG
60,17,33,48,14,SEDANG
44,11,23,54,15,SEDANG
71,3,21,74,16,SEDANG
